country,essround,year,stfeco_value,share
CZ,1,2002.0,1,0.07891891891891892
CZ,1,2002.0,2,0.14594594594594595
CZ,1,2002.0,3,0.18054054054054053
CZ,1,2002.0,4,0.13837837837837838
CZ,1,2002.0,5,0.14486486486486486
CZ,1,2002.0,6,0.09945945945945946
CZ,1,2002.0,7,0.07027027027027027
CZ,1,2002.0,8,0.016216216216216217
CZ,1,2002.0,9,0.004324324324324324
CZ,1,2002.0,10,0.003243243243243243
CZ,1,2002.0,88,0.04108108108108108
CZ,1,2002.0,99,0.002162162162162162
CZ,1,2003.0,0,0.05234159779614325
CZ,1,2003.0,1,0.06336088154269973
CZ,1,2003.0,2,0.1322314049586777
CZ,1,2003.0,3,0.19008264462809918
CZ,1,2003.0,4,0.1322314049586777
CZ,1,2003.0,5,0.1487603305785124
CZ,1,2003.0,6,0.12947658402203857
CZ,1,2003.0,7,0.06336088154269973
CZ,1,2003.0,8,0.03305785123966942
CZ,1,2003.0,9,0.011019283746556474
CZ,1,2003.0,88,0.04132231404958678
CZ,1,2003.0,99,0.0027548209366391185
CZ,1,9999.0,0,0.125
CZ,1,9999.0,1,0.06944444444444445
CZ,1,9999.0,2,0.18055555555555555
CZ,1,9999.0,3,0.1111111111111111
CZ,1,9999.0,4,0.1527777777777778
CZ,1,9999.0,5,0.125
CZ,1,9999.0,6,0.08333333333333333
CZ,1,9999.0,7,0.041666666666666664
CZ,1,9999.0,8,0.05555555555555555
CZ,1,9999.0,9,0.013888888888888888
CZ,1,9999.0,10,0.013888888888888888
CZ,1,9999.0,88,0.027777777777777776
CZ,2,2004.0,0,0.0945142101784534
CZ,2,2004.0,1,0.06972901520158625
CZ,2,2004.0,2,0.1404494382022472
CZ,2,2004.0,3,0.16556510244547257
CZ,2,2004.0,4,0.13549239920687375
CZ,2,2004.0,5,0.14805023132848646
CZ,2,2004.0,6,0.09385327164573695
CZ,2,2004.0,7,0.05717118307997356
CZ,2,2004.0,8,0.031064111037673495
CZ,2,2004.0,9,0.008592200925313946
CZ,2,2004.0,10,0.006609385327164574
CZ,2,2004.0,88,0.048909451421017845
DE,1,2002.0,0,0.20179372197309417
DE,1,2002.0,1,0.1031390134529148
DE,1,2002.0,2,0.18385650224215247
DE,1,2002.0,3,0.17488789237668162
DE,1,2002.0,4,0.13452914798206278
DE,1,2002.0,5,0.10762331838565023
DE,1,2002.0,6,0.06278026905829596
DE,1,2002.0,7,0.017937219730941704
DE,1,2002.0,8,0.008968609865470852
DE,1,2002.0,10,0.004484304932735426
DE,1,2003.0,0,0.16023738872403562
DE,1,2003.0,1,0.07752225519287834
DE,1,2003.0,2,0.1884272997032641
DE,1,2003.0,3,0.20474777448071216
DE,1,2003.0,4,0.14206231454005935
DE,1,2003.0,5,0.10682492581602374
DE,1,2003.0,6,0.057863501483679525
DE,1,2003.0,7,0.0293026706231454
DE,1,2003.0,8,0.014465875370919881
DE,1,2003.0,9,0.004080118694362018
DE,1,2003.0,10,0.00370919881305638
DE,1,2003.0,77,0.000370919881305638
DE,1,2003.0,88,0.010385756676557863
DE,2,2004.0,0,0.12085210979106924
DE,2,2004.0,1,0.061859893486276116
DE,2,2004.0,2,0.15075788611224908
DE,2,2004.0,3,0.2101597705858255
DE,2,2004.0,4,0.15075788611224908
DE,2,2004.0,5,0.13068414584186808
DE,2,2004.0,6,0.08521097910692339
DE,2,2004.0,7,0.043424825891028265
DE,2,2004.0,8,0.025399426464563703
DE,2,2004.0,9,0.004916018025399427
DE,2,2004.0,10,0.005325686194182712
DE,2,2004.0,77,0.00040966816878328555
DE,2,2004.0,88,0.010241704219582138
DE,2,2005.0,0,0.0675990675990676
DE,2,2005.0,1,0.0675990675990676
DE,2,2005.0,2,0.16083916083916083
DE,2,2005.0,3,0.1958041958041958
DE,2,2005.0,4,0.16083916083916083
DE,2,2005.0,5,0.16083916083916083
DE,2,2005.0,6,0.0675990675990676
DE,2,2005.0,7,0.06526806526806526
DE,2,2005.0,8,0.02097902097902098
DE,2,2005.0,9,0.006993006993006993
DE,2,2005.0,10,0.002331002331002331
DE,2,2005.0,77,0.002331002331002331
DE,2,2005.0,88,0.02097902097902098
DK,1,2002.0,0,0.01198501872659176
DK,1,2002.0,1,0.0022471910112359553
DK,1,2002.0,2,0.0149812734082397
DK,1,2002.0,3,0.03146067415730337
DK,1,2002.0,4,0.0449438202247191
DK,1,2002.0,5,0.10337078651685393
DK,1,2002.0,6,0.11161048689138577
DK,1,2002.0,7,0.21872659176029963
DK,1,2002.0,8,0.2711610486891386
DK,1,2002.0,9,0.11086142322097378
DK,1,2002.0,10,0.04943820224719101
DK,1,2002.0,88,0.02696629213483146
DK,1,2002.0,99,0.0022471910112359553
DK,1,2003.0,0,0.006896551724137931
DK,1,2003.0,1,0.006896551724137931
DK,1,2003.0,3,0.006896551724137931
DK,1,2003.0,4,0.041379310344827586
DK,1,2003.0,5,0.06206896551724138
DK,1,2003.0,6,0.1103448275862069
DK,1,2003.0,7,0.2827586206896552
DK,1,2003.0,8,0.2413793103448276
DK,1,2003.0,9,0.10344827586206896
DK,1,2003.0,10,0.1103448275862069
DK,1,2003.0,88,0.027586206896551724
DK,1,9999.0,3,0.07692307692307693
DK,1,9999.0,4,0.038461538461538464
DK,1,9999.0,5,0.038461538461538464
DK,1,9999.0,6,0.07692307692307693
DK,1,9999.0,7,0.11538461538461539
DK,1,9999.0,8,0.23076923076923078
DK,1,9999.0,9,0.07692307692307693
DK,1,9999.0,88,0.23076923076923078
DK,1,9999.0,99,0.11538461538461539
DK,2,2004.0,0,0.004874651810584958
DK,2,2004.0,1,0.006267409470752089
DK,2,2004.0,2,0.01532033426183844
DK,2,2004.0,3,0.026462395543175487
DK,2,2004.0,4,0.037604456824512536
DK,2,2004.0,5,0.09958217270194986
DK,2,2004.0,6,0.100974930362117
DK,2,2004.0,7,0.19707520891364902
DK,2,2004.0,8,0.29596100278551535
DK,2,2004.0,9,0.11142061281337047
DK,2,2004.0,10,0.06197771587743733
DK,2,2004.0,88,0.0403899721448468
DK,2,2004.0,99,0.0020891364902506965
DK,2,2005.0,4,0.022727272727272728
DK,2,2005.0,5,0.13636363636363635
DK,2,2005.0,6,0.06818181818181818
DK,2,2005.0,7,0.11363636363636363
DK,2,2005.0,8,0.38636363636363635
DK,2,2005.0,9,0.1590909090909091
DK,2,2005.0,10,0.11363636363636363
DK,2,9999.0,5,0.14285714285714285
DK,2,9999.0,6,0.14285714285714285
DK,2,9999.0,7,0.14285714285714285
DK,2,9999.0,8,0.14285714285714285
DK,2,9999.0,9,0.2857142857142857
DK,2,9999.0,88,0.14285714285714285
EE,2,2004.0,0,0.039285714285714285
EE,2,2004.0,1,0.041428571428571426
EE,2,2004.0,2,0.07785714285714286
EE,2,2004.0,3,0.16642857142857143
EE,2,2004.0,4,0.12357142857142857
EE,2,2004.0,5,0.19714285714285715
EE,2,2004.0,6,0.11071428571428571
EE,2,2004.0,7,0.12285714285714286
